name,price
"Pc portable hp 15-bw049nf - 2px77ea - 15,6' hd - amd a6-9220 2,5 ghz - 8 go ram - 2 to hdd - amd radeon r4 - win 10 64 bits",467
"HP 1WY65EA#ABF Ordinateur Portable Hybride 15,6"" Noir (Intel, 4 Go de RAM, 500 Go, Windows 10 Pro) Clavier AZERTY français",427
"Asustek X751NA-TY012T Ordinateur Portable Hybride 17,3"" Blanc (Intel, 4 Go de RAM, Go, DOS)",490
"PC Hybride Microsoft Surface Go 10"" Tactile Intel Pentium Gold 4 Go RAM 64 Go eMMC",449
"Fujitsu LIFEBOOK A555 - 15.6"" - Core i3 5005U - 4 Go RAM - 500 Go HDD - français",433
"PC Ultra-Portable Acer Aspire 3 A314-31-P1BU 14""",429
"ORDISSIMO Agate 2 - 14"" N3050 - 2 Go RAM - 64 Go SSD",426
"PC Portable HP 15-bs080nf 15.6""",51493
"PC Portable Lenovo IdeaPad 320-17IKB 80XM00L0FR 17.3""",399
"PC Portable CHUWI SurBook 2 EN 1 12.3""128GB Intel Celeron N3450 Quad Core Windows10",458
"PC Ultra-Portable Lenovo IdeaPad 320-14IKBN 80XK0100FR 14""",44390
Ordinateur portable Asus R540Lj-Gk535T,479
"Dell Latitude E5450 - 14"" - Core i5 5200U - 4 Go RAM - 500 Go HDD",355
Ordinateur portable Chromebook 14 CP5-471-C67N (NX.GE8EF.002) Acer,357
"PC Ultra-Portable Asus Polyvalence E402SA-FR268T 14""",
"PC Portable Acer Aspire ES 15 ES1-533-P8VG 15.6""",323
PC Portable Lenovo ThinkPad X230 - 12.5'' HD - Noir - Intel Core i5-3320M / 2.60 GHz - RAM 8 Go - SSD 240 Go - Webcam - Gigabit Ethernet - Wifi - Windows 7 Professionnel,308
"Acer Aspire A315-31-C389 PC Portable 15"" HD Noir (Intel Celeron, 4 Go de RAM, 1 To, Windows 10)",328
PC Portable Lenovo ThinkPad T420 - 14'' - Noir - Intel Core i5-2520M / 2.50 GHz - RAM 8 Go - SSD 240 Go - DVDRW - Webcam - Gigabit Ethernet - Wifi - Windows 7 Professionnel,299
"PC Ultra-portable HP Stream 11-y006nf 11.6"" + Office 365 personnel 1 an d’abonnement inclus",208
"PC Hybride Asus TP202NA-EH316T 11.6""",289
"PC Ultra-Portable HP Stream 14-ax025nf 14""",255
"14.1"" IPS 1920*1080 CHUWI LapBook14.1 4Go+64Go Windows10 Intel HD WIFI BT4.0 Ordinateur portable 9000mAh EU",248
"PC Portable Dell Latitude E6420 - 14,1'' - Gris - Intel Core i5 2520M / 2.50 GHz - RAM 4 Go - HDD 250 Go - DVDRW - Gigabit Ethernet - Wifi - Windows 10 Professionnel",331
"Lenovo ThinkPad X240 20AM - 12.5"" - Core i5 4300U - 4 Go RAM - 500 Go HDD",248
"Asustek E402NA-GA248T Ordinateur Portable Hybride 14"" Blanc (Intel Celeron, 4 Go de RAM, 32 Go, Windows 10 Home) AZERTY (Clavier Français)",232
"PC Portable Acer ES1-523-20R6 15.6""",304
"PC Ultra-Portable Acer Aspire 1 A114-31-C1Q7 14""",209
"Thomson Ultrabook X6-2.32GO - 13"" Gold – Matériau aluminium – Processeur Intel Celeron – RAM 4 Go – Stockage 32 Go – Logiciels intégrés Windows 10 + anti-virus Norton – Ecran IPS Full HD – Slim et léger 1,3kg",209
PC Portable occasion Lenovo ThinkPad T430 - 14'' HD - Noir - Intel Core i5-3320M / 2.60 GHz - RAM 4 Go - HDD 320 Go - DVDRW - Gigabit Ethernet - Wifi - Linux - Ubuntu,199
Lecteur MP4 4GB -Argent-,24
Mini PC Android 4.4 Netbook Ultra portable 10 pouces WiFi 72Go Blanc,184
"Lenovo ThinkPad X220 4291 - 12.5"" - Core i5 2520M - 4 Go RAM - 320 Go HDD",179
Asus Zenpad 10 Z301MFL 4G 16GB Netbook HDD 16 Go RAM 2048 Mo Android,200
Lenovo thinkpad x201,170
"Thomson NEO14A-2BK32 Ultrabook 14,1"" Noir (Intel_atom, 2 Go de RAM, 32 Go, HD Graphics, Windows 10 Home) Clavier AZERTY français",167
"Dell latitude e6400 2Go 160Go - Intel core 2 duo - 2Go (2048Mo) - 160Go - 14,1 - windows 7 Édition familiale premium 64 bits",149
Mini PC Android ultra portable netbook 10 pouces WiFi 4 Go Noir,134
Thomson ds400 subwoofer avec station daccueil pour ipod iphone ipad 90 w noir,149
Mini PC Android Kitkat dual core netbook 7 pouces WiFi 4 Go Noir,99
1 Vitre de protection verre Trempé 0.3mm 9H Samsung Galaxy S6 SM-G920F,2
Lecteur MP3 -shuffle- MÉMOIRE MICRO SD -Noir-,9
"Clé Miracast Airplay, WI-FI 802.11 b / g / n, Pour Android + iOS",37
Hama 00124484 enceinte portable avec bluetooth pour téléphone portable smartphone noir,27
Lecteur MP3 -shuffle- MÉMOIRE MICRO SD -Argent-,10
1 Vitre de protection verre Trempé 0.3mm 9H Samsung Galaxy Note 3,4
"PC Portable Acer Predator GX-792-77HL NH.Q1EEF.003 17.3"" Gaming",
"PC Portable Acer Aspire 7 A715-72G-52HL NX.H23EF.001 15.6"" Gaming",
"PC Portable Acer Aspire 5 A517-51G-54J9 NX.GVPEF.008 17.3""",810
"PC Ultra-Portable Acer Swift 3 SF314-54-339U NX.GXJEF.005 14""",
"PC Portable Acer Predator PH517-51-7194 NH.Q3NEF.009 17.3"" Gaming",
"PC Portable Acer Aspire 3 A315-41-R9X9 NX.GY9EF.011 15.6""",
"PC Portable Acer Swift 3 SF315-52G-523P NX.H1NEF.002 15.6""",
"PC Portable Acer Aspire 5 A517-51G-396G NX.GVPEF.032 17.3""",
"PC Portable Acer Aspire 3 A315-51-34W7 NX.GNPEF.044 15.6""",
"PC Ultra-Portable Acer Swift 3 SF314-54-867W NX.GXZEF.014 14""",
"PC Ultra-Portable Acer Swift 5 SF514-52T-51CW NX.GTMEF.020 14"" Tactile",
"PC Portable Acer Predator PH517-51-91JR NH.Q3NEF.012 17.3"" Gaming",
"PC Portable Acer Aspire ES1-732-P3S1 NX.GH4EF.024 17.3""",
"PC Ultra-Portable Acer Swift 3 SF314-54G-56JS NX.H1UEF.003 14""",
"PC Ultra-Portable Acer Swift 5 SF514-52T-87H6 NX.GTMEF.019 14"" Tactile",
"PC Portable Acer Predator Helios 300 PH317-52-726Z NH.Q3EEF.017 17.3"" Gaming",
"PC Portable Acer Swift 3 SF315-52G-87NL NX.GZAEF.006 15.6""",
"PC Ultra-Portable Acer Swift 3 Swift SF314-54-575U NX.GXZEF.005 14""",
PC Portable Acer Predator Helios 300 PH317-52-5593 NH.Q3EEF.018 17.3'' Gaming,
"PC Portable Acer Predator Helios 300 PH315-51-7075 NH.Q3HEF.007 15.6"" Gaming",
"PC Hybride Lenovo Yoga 530-14IKB 14"" Tactile",
"PC Ultra-Portable Lenovo IdeaPad 530S-14ARR 81H1001YFR 14""",
"PC Portable Asus VivoBook R520UF-EJ628T 15.6""",
"PC Ultra-Portable Asus R414BA-FA177T 14""",
"PC Portable Asus TUF554GM-E4298T 15.6"" Gaming",
"PC Portable Asus R540UV-DM035T 15.6""",
"PC Ultra-Portable Asus VivoBook S430UAN-EB158T 14""",
"PC Portable Asus F540LA-XX1145T 15.6""",
"PC Portable Asus R702UA-BX560T 17.3""",
"PC Ultra-Portable Asus ZenBook UX331UA-C4133T 13.3"" Tactile",
"PC Hybride Asus ZenBook FP-EA384T 13.3"" Tactile",
PC Portable Asus VivoBook S530UA-BQ284T 15.6'',
PC Ultra-Portable Asus VivoBook S430UA-EB065T 14'',
PC Ultra-Portable Asus VivoBook S430UA-EB135T 14'',
PC Portable Asus R540LA-XX1372T 15.6'',
R414BA-FA145T,
N705UF-BX139T,
PC Portable Asus R562UD-EJ168T 15.6'',
PC Ultra-Portable Asus VivoBook S405UA-EB895T 14'',
PC Hybride Asus VivoBook Flip TP401MA-BZ078TS 14'' Tactile,
PC Ultra-Portable Asus VivoBook S401UA-BV811T 14'',
PC Hybride Asus VivoBook Flip TP401MA-BZ084T 14'' Tactile,549
PC Portable Asus ZenBook UX580GD-BO038T 15.6'' avec ScreenPad,
PC Ultra-Portable Asus Zenbook 7r8256 14'',1131
PC Ultra-Portable Asus ZenBook UX430UA-GV381T 14'',
PC Hybride Asus Zenbook UX461UA-E1010T 14'' Tactile,
PC Hybride Asus Zenbook UX461UA-E1166T 14'' Tactile,
"PC Ultra-Portable HP Pavilion 14-ce0020nf 14""",
"PC Portable HP 15-db0022nf 15.6""",399
"PC Hybride HP Envy x360 15-cn0000nf 15,6” Tactile",
"PC Portable HP 17-by0011nf 17.3""",449
"PC Portable HP 15-db0024nf 15.6""",549
PC Portable HP 15-da0032nf 15.6”,
"PC Portable HP Omen 15-ce050nf 15.6"" Gaming",
"PC Hybride HP Pavilion x360 14-ba034nf 14"" Tactile",
"PC Ultra-Portable HP Pavilion 14-ce0018nf 14""",
"PC Portable HP 17-by0137nf 17.3""",579
"PC Ultra-Portable HP Spectre 13-af002nf 13.3"" Tactile",1505
"PC Ultra-Portable HP 14-cf0008nf 14""",564
"PC Portable HP 15-da0062nf 15.6""",499
PC Portable HP Pavilion 15-cs0038nf 15.6”,
"PC Portable HP 15-da0063nf 15.6""",
PC Portable HP 15-da0013nf 15.6”,
PC Portable HP 15-da0021nf 15.6”,
"PC Portable HP Omen 15-ce053nf 15.6"" Gaming",
"PC Hybride HP Spectre x360 13-ae012nf 13.3"" Tactile",
"PC Ultra-Portable HP Stream 14-cb041nf 14""",
"PC Ultra-Portable HP 14-cf0000nf 14""",
"PC Portable HP Omen 17-an129nf 17.3"" Gaming",
"PC Portable HP Envy 17-bw0013nf 17.3""",
"PC Portable HP Omen 15-dc0016nf 15.6"" Gaming",
"PC Portable HP 17-by0015nf 17.3""",
"PC Portable HP Omen 17-an131nf 17.3"" Gaming",
"PC Portable HP 15-db0005nf 15.6""",
"PC Portable HP 15-da0018nf 15.6""",
PC Portable HP Pavilion 15-cw0005nf 15.6”,
"PC Ultra-Portable HP 14-cm0004nf 14""",
PC Portable HP 15-da0061nf 15.6”,
PC Portable HP Pavilion 15-cs0020nf 15.6”,
"PC Portable HP Pavilion 15-cx0003nf 15.6"" Gaming",
"PC Ultra-Portable HP Pavilion 14-ce0034nf 14""",
"PC Hybride HP Pavilion x360 14-cd0027nf 14"" Tactile",
PC Portable HP Pavilion 15-cs0021nf 15.6”,
"PC Portable HP 17-by0013nf 17.3""",
"PC Portable HP Omen 15-dc0002nf 15.6"" Gaming",
"PC Ultra-Portable HP Spectre x360 Convertible 13-ae027nf 13.3"" Tactile",
"PC Portable HP 15-db0023nf 15.6""",
"PC Portable HP 15-da0027nf 15.6""",
"PC Ultra-Portable HP 14-cf0004nf 14""",
"PC Hybride HP Pavilion x360 14-cd0012nf 14"" Tactile",
"PC Portable HP Pavilion 15-cs0010nf 15.6""",
"PC Portable HP Omen 15-dc0018nf 15.6"" Gaming",
"PC Ultra-Portable HP 14-ck0007nf 14""",
"PC Portable HP Omen 15-dc0024nf 15.6"" Gaming",
"PC Portable HP 17-by0006nf 17.3""",
"PC Portable HP 17-by0000nf 17.3""",
PC Hybride HP Envy x360 15-cn0013nf 15.6” Tactile,
"PC Ultra-Portable HP 14-ck0006nf 14""",
"PC Portable HP Pavilion 17-ab401nf 17.3""",
"PC Portable HP 15-da0011nf 15.6""",
"PC Portable HP Envy 17-bw0017nf 17.3""",
"PC Ultra-Portable HP Chromebook 14-ca001nf 14"" Tactile",
